,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역,
,72,1,아르하 월드,주인공,,쓰러진 이그나에게 솔라가 최후의 일격을 가하려는 그때였다. 어디선가 나타난 검은 그림자가 솔라의 공격을 막아내고 이그나를 지켰다.,Solar was about to finish the Igna. A black shadow appeared from somewhere to protect Igna from Solar.,
,72,2,아르하 월드,솔라,,누구냐!,Who are you?!,
,72,3,아르하 월드,다크나이트,,못할 짓은 안하는거다 솔라.,"You have to stop, Solar.",
,72,4,아르하 월드,주인공,,"검은 갑옷을 온 몸에 두른 드래곤이었다. 난폭하고, 얼핏 사악하게도 보이는 외견과는 달리 눈빛은 이상하게 맑은 드래곤이었다.","It was a dragon with black armor all over its body. Unlike the violent, seemingly evil exterior, the eyes were strangely clear.",
,72,5,아르하 월드,다크나이트,,정말 이그나를 죽이려고 했다면 힘 좀 더 줘라. 대충 막아도 막아질 정도 같으면 안하는게 낫지.,"If you really wanted to kill Igna, you need more power.",
,72,6,아르하 월드,솔라,,이제와서 무슨 볼일이냐 다크나이트.,What's the matter with you? Dark Knight.,
,72,7,아르하 월드,다크나이트,,"워, 눈빛 보소. 못본사이 아주 거칠거칠해졌구나 솔라.","Whoa, look at the eyes. You must have been very rough, Solar.",
,72,8,아르하 월드,주인공,,다크나이트는 싱글싱글 웃으며 대답했다. 대답하는 태도나 마주하는 성격만 봐서는 그렇게 나쁜 드래곤같아 보이진 않는데......,Dark Knight smiled on him. It doesn't look like such a bad dragon just because of the way his answer and the way...,
,72,9,아르하 월드,다크나이트,,"좋아, 다 설명해주지. 궁금한건 다 대답해주마. 대신 여기선 안돼.","All right, let me explain everything. I'll answer all your questions. Not here instead.",
,72,10,아르하 월드,주인공,,다크나이트는 쓰러진 이그나를 안고 날아올랐다. 그리고 우릴 향해 한마디를 남기고는 순식간에 사라졌다.,The Dark Knight flew up with Igna who had fallen. And he left a word for us and then disappeared in a flash.,
,72,11,아르하 월드,다크나이트,,어둠의 봉인지로 와라. 거기서 모든 걸 말해주마.,Come to the land of dark. I'll tell you everything there.,
,,,,퀘스트,,"어둠의 봉인지로 이동해 다크나이트와 만나자
(어둠의 봉인지에 퀘스트 표시)",Go to the land of dark and meet Dark Knight.,
,73,1,어둠의 봉인지,주인공,,"어둠의 봉인지에 도착하자 다크나이트가 혼자 우릴 기다리고 있었다. 몬스터도 보이지 않았고, 적어도 함정은 아닌 것 같았다.","When we arrived at the land of dark, Dark Knight was waiting for us alone. No monsters were seen, it didn't look like a trap.",
,73,2,어둠의 봉인지,제피로스,,조심해.,Be careful.,
,73,3,어둠의 봉인지,주인공,,그래서 잔뜩 긴장한 제피로스의 한마디가 굉장히 의아했다.,So the nervous words of Zephyros were very curious.,
,73,4,어둠의 봉인지,제피로스,,수호룡의 수장은 솔라지만 제일 강한 수호룡은 다크나이트다.,"The head of guardian dragons is Solar, but the strongest guardian is Dark Knight.",
,73,5,어둠의 봉인지,주인공,,포폰이 더 힘이 세지 않나요? 제피로스보다 빠르지도 않을텐데요?,"Isn't Popon stronger than him? And he isn't faster than Zephyros, is it?",
,73,6,어둠의 봉인지,포폰,,"그 말은 맞지만...... 나 다음으로 힘이 세고, 제피로스 다음으로 빨라.","That's right, but... He is the strongest after me, and the fastest after Zephyros.",
,73,7,어둠의 봉인지,솔라,,거기에 전투 감각은 누구보다도 뛰어나지. 여차하면 혼자서 우리와 맞서 싸울 수 있을 정도로 말이야.,And the combat sense is better than anyone else. Enough to fight against us alone.,
,73,8,어둠의 봉인지,주인공,,솔라의 말을 들은 다크나이트가 씨익 웃었다. 보기에는 참 시원한 웃음이었지만 방금 전 얘기를 듣고보니 새삼 보기 좋은 웃음은 아니었다.,"Dark Knight grinned at Solar. It was a cool smile to look at, but it was not a pleasant laugh to see from what I just heard.",
,73,9,어둠의 봉인지,다크나이트,,"시렐라님께 인사는 드렸나? 아, 이젠 아스타로트님이시군.","Did you say hello to Sirella? Oh, She is Astaroth now.",
,73,10,어둠의 봉인지,솔라,,닥쳐! 시렐라님께 무슨 일이 있었던거냐!,Shut up! What happened to goddess!,
,73,11,어둠의 봉인지,다크나이트,,그분은 현실을 깨달으셨지. 아주 가혹하고 혹독한 현실을.,She realized the reality. A very harsh reality.,
,73,12,어둠의 봉인지,제피로스,,그게 무슨 말이지?,What does that mean?,
,73,13,어둠의 봉인지,다크나이트,,"예전부터 느끼긴 했단 말이지 나는. 쉴라님은 어째 현실감각이 조금 떨어지는 분이시라고 말이야. 너무 꿈 속, 동화 속에서 살려고 하셔.","I've felt it before, but I don't know why she's such a poor person. She's trying to live in a dream, a fairy tale.",
,73,14,어둠의 봉인지,주인공,,순간 세 수호룡의 분노가 머리 꼭대기까지 치솟은게 느껴졌다. 보이진 않았는데 그냥 느껴졌다.,"For a moment, I felt the anger of the three guardians. I didn't see it, but I just felt it.",
,73,15,어둠의 봉인지,고대신룡,변신,그만둬라 다크나이트. 우릴 놀리려고 부른 건 아닐텐데.,"Stop it, Dark Knight. You didn't call us to make fun of you.",
,73,16,어둠의 봉인지,다크나이트,,그러고 보니 왜 당신이 여기있는지는 참 의문이야. 다크닉스 그 친구는 어떻게 됐지? 요즘도 잘 부수면서 건강하게 지내나?,"Come to think of it, I wonder why you are here. How was Dark Nix? Is he still breaking up well and staying healthy?",
,73,17,어둠의 봉인지,고대신룡,변신,잔다.,He is sleeping.,
,73,18,어둠의 봉인지,주인공,,"고대신룡의 대답에 의아한 표정을 짓더니 뭔가 물어보려고 하던 다크나이트는 이내 입을 다물었다. 묻기 어려워서가 아니라, 그냥 관심이 사라진 태도였다.","After making a questioning look at the answer of God dragon, Dark Knight, which was about to ask questions, soon shut up. It was not because it was difficult to ask, it was just an attitude of losing interest.",
,73,19,어둠의 봉인지,다크나이트,,뭐 그쪽 이야기는 그쪽대로 하시겠지. 아무튼 시렐라...... 아스타로트님에 대한 내 대답은 그렇다. 아주 현실감각 넘치는 분으로 거듭나셨지.,"Well, you'll do as you say. Anyway, Sirella ...... My answer about Astaroth is yes. She was reborn as a realist.",
,73,20,어둠의 봉인지,포폰,,영문을 알 수 없잖아! 그런거 말고 똑바로 대답해!,I don't know what you mean! Answer straight!,
,73,21,어둠의 봉인지,다크나이트,,너희는 카데스를 마주한 적이 있나?,Have you ever faced Kades?,
,73,22,어둠의 봉인지,주인공,,"다크나이트의 말에 모두가 조용해졌다. 본 적 없어서, 할 말 없어서 입을 다문 게 아니라 갑자기 위압감 있는 태도를 보인 다크나이트의 모습 때문이었다.","The words of Dark Knight silenced everyone. It was not because I had never seen Kades or had no words to say, but because of the attitude of Dark Knight.",
,73,23,어둠의 봉인지,다크나이트,,너희는 '어둠'을 마주한 적이 있나?,Have you ever faced 'Darkness'?,
,73,24,어둠의 봉인지,주인공,,"이번에도 마찬가지였다. 대답할 말도 없었고, 대답하면...... 다크나이트가 당장 덤벼들 것만 같았다.","It was the same again this time. I had nothing to answer, and if I answer... It was like Dark Knight was about to hit.",
,73,25,어둠의 봉인지,고대신룡,변신,"그래, 만나봤다.","Yes, I met it.",
,73,26,어둠의 봉인지,주인공,,유일하게 고대신룡만이 그 질문에 대답했다. 난 겨우 한숨을 내쉬며 다크나이트를 바라봤다.,Only God dragon answered the question. I just sighed and looked at Dark Kight.,
,73,27,어둠의 봉인지,다크나이트,,"어둠은, 카데스는 어떠한 존재지?","Darkness, what kind of a thing is Kades?",
,73,28,어둠의 봉인지,주인공,,고대신룡의 두 눈이 조용히 타오르기 시작했다. 그 속에 깃든 건 분노였다.,The eyes of God dragon began to burn quietly. It was anger that lay in it.,
,73,29,어둠의 봉인지,고대신룡,변신,카데스를 봤구나 다크나이트.,"You saw Kades, Dark knight.",
,73,30,어둠의 봉인지,다크나이트,,"그래. 나와 이그나, 블리자드. 그리고 시렐라님은...... '어둠'을 보았다.","Yes. Me, Igna, Blizzard and Sirella ...... saw the 'Darkness'.",
,73,31,어둠의 봉인지,솔라,,이미 예전부터 내통하고 있었다는......!,You mean you've been in league for a long time?!,
,73,32,어둠의 봉인지,다크나이트,,우린 실패했다 솔라.,"We failed, Solar.",
,73,33,어둠의 봉인지,주인공,,솔라가 흥분한 목소리로 따지려 들 때 갑자기 다크나이트가 처연히 말했다. 갑작스런 태도의 변화에 당황했는지 솔라도 화를 내다 말았다.,"When Solar tried to tell with an excited voice, Dark knight suddenly said. Solar was embarrassed by the change of Dark knight.",
,73,34,어둠의 봉인지,다크나이트,,시렐라님을 찾기 위해 출발한 우리는 실패했다. 우린 시렐라님을 구하지 못했어.,"We, set out to find Sirella and failed. We couldn't save her.",
,73,35,어둠의 봉인지,렉스톤,변신,무슨 말이야? 그런데 왜 같이 있어?,What do you mean? But why are you together?,
,73,36,어둠의 봉인지,다크나이트,,우린 시렐라님을 찾았다. 그리고 헬카이저에게 붙잡혀 카데스에게 끌려갔다.,We found Sirella. Then Hell kaiser caught us and taken us to Kades.,
,73,37,어둠의 봉인지,주인공,,충격적인 고백에 우린 말을 잊고 말았다. 고대신룡만 빼놓고.,The shocking confession made us forget our words. Except for God dragon.,
,73,38,어둠의 봉인지,고대신룡,변신,하! 뻔한 이야기군. 정작 눈앞에서 보니 너무 강해 보였나 보지? 거기서 마음이 꺾였을테고.,Ha! Did he look too strong ? So you would give up.,
,73,39,어둠의 봉인지,다크나이트,,카데스는...... 너무 강하다. 그의 부하들만 봐도 잘 알수 있겠지.,Kades is... too strong. You know it well just by looking at his men.,
,73,40,어둠의 봉인지,렉스톤,변신,음...... 강하긴 하지. 헬카이저나 다크베인이나 거시기 그...... 아스타로트나.,"Hmm ...... I agree. Hell kaiser, Dark Vein, what's.. Astaroth too.",
,73,41,어둠의 봉인지,솔라,,"그렇다고, 적의 힘이 강한 걸 확인하자마자 굴복한거냐! 넌 도대체 뭐하는 놈이야!",But you gave in as soon as you knew the enemy was strong! What the hell are you doing?,
,73,42,어둠의 봉인지,다크나이트,,"지금 너희와 내가 싸운다면, 솔직히 난 지지 않을 자신이 있다. 이게 오만도 자만도 아니란 건 잘 알겠지 솔라.","If you and I were to fight now, frankly, I wouldn't lose. Solar, you know this is neither arrogance nor pride.",
,73,43,어둠의 봉인지,다크나이트,,"하지만 우린 겁에 질려 벌벌 떨었다. 그 태초의 '어둠' 앞에서, 죽음조차 넘어서는 강력한 공포 앞에 어린아이처럼 떨었지.","But we were scared and shivering. In front of the beginning of 'darkness', intense fear that goes beyond death made us shiver, like a child.",
,73,44,어둠의 봉인지,다크나이트,,그런 우릴 지킨건 아스타로트님이었다. 강하고 의연하게 카데스에게 맞섰지. 그 빌어먹을 헬카이저와 다크베인의 조롱을 들으면서 말이다.,It was Astaroth who protected us. She stood up to Kades with great will. She endured the bloody Hell kaiser and Dark Vein's ridicule and insults.,
,73,45,어둠의 봉인지,다크나이트,,이러한 우리 상황을 알지도 못하면서 욕하는거냐! 하면서 화를 낼 생각은 없다. 물론 네 말대로 우리는 그래선 안돼. 우린 아르하의 수호룡이니까.,"I wouldn't say, ""Are you insulting me without knowing our situation!"". Of course I shouldn't, as you say, we are the guardians of Archa.",
,73,46,어둠의 봉인지,주인공,,다크나이트는 지그시 눈을 감고 말을 이었다. 지금까지의 여유롭던 태도와는 다른 고통스러운 표정이다.,Dark knight slowly closed his eyes and continued. He had a look of pain that was different from his relaxed attitude.,
,73,47,어둠의 봉인지,다크나이트,,하지만 우리가 거기서 용기를 내면 다 죽었을거다. 수호룡의 전력은 반토막이 나고 두 여신님 중 한 분이 죽었겠지. 그럼 아르하는 끝장이야.,But if we had acted recklessly there we would all be dead. The guardians must have been reduced by half and the goddess would have died. Then Archa is over.,
,73,48,어둠의 봉인지,고대신룡,변신,네 실수는 그게 아니다 다크나이트.,"That's not your fault, Dark knight.",
,73,49,어둠의 봉인지,주인공,,"나도 모르게 흠칫 놀랐다. 고대신룡이 분노를, 아니 짜증에 가까운 목소리로 위협스레 말을 했기 때문이다.",I was frightened. This is because God dragon's voice felt anger and irritation.,
,73,50,어둠의 봉인지,고대신룡,변신,"순간의 위기를 모면하려 머리를 굴려본 모양이다만, 그건 괜찮다. 굴복하는 용기도 때론 필요한 법이지.","I think I've tried to get my head out of a moment's trouble, but that's okay. It is sometimes necessary to give in.",
,73,51,어둠의 봉인지,다크나이트,,그럼 뭐가 실수란거냐.,Then what's the problem?,
,73,52,어둠의 봉인지,고대신룡,변신,"악행을 거듭하는 네 주인을 대체 언제까지 지켜볼 작정이었나. 이미 여러 세계를 침공했을테고, 유타칸까지 건드렸다.","How long have you been going to keep an eye on your master for her repeated misdeeds? You have already invaded many worlds, and also Utahkhan.",
,73,53,어둠의 봉인지,고대신룡,변신,그 결과로 드래곤 슬레이어는 저주받았고 크레바스라는 강력한 적까지 우릴 위협했지.,"As a result, Dragon slayer was cursed and powerful enemy named Crevasse threatened us.",
