,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역,
,,,,퀘스트,,"일단 꿈의 세계에서 렉스톤을 잡아오자.
(아르하의 입구에 퀘스트 표시)","First, go get Rexton from the wolrd of dreams.",
,56,1,꿈의 세계,렉스톤,변신,이거 놔! 뭐하는거야!,What? What are you doing?,
,56,2,꿈의 세계,솔라,,아직 네 도움이 필요하다 렉스톤. 조금만 더 우릴 도와줘.,We still need your help Rexton. Help us.,
,56,3,꿈의 세계,렉스톤,변신,"알았어, 도와줄테니까! 알았으니까 이거 좀 놔 포폰!",Ok ok! so let go of this. Popon!,Popon
,56,4,꿈의 세계,주인공,,포폰이 번쩍 들고 있던 렉스톤을 땅에 내려놓으려 하자 솔라가 호통을 친다.,"Solar shouts when Popon tries to put down Rexton, which was holding him lightly, on the ground.",Solar
,56,5,꿈의 세계,솔라,,안돼 포폰! 절대 땅에 내려놓지 마! 구멍 파고 도망간다!,No Popon! Never put him on the ground! He will going to dig a hole and run away!,
,56,6,꿈의 세계,렉스톤,변신,크아악! 안돼! 난 고향으로 돌아갈거야!,Kraak! No! I will go home!,
,56,7,꿈의 세계,주인공,,저렇게 가고싶어하는데 잠깐은 보내줘도 되지 않을까? 내 말을 듣고 지부장님이 고개를 가로저었다.,Could you let him go for a while? The manager shook her head when she heard me.,
,56,8,꿈의 세계,지부장,보통,절대 안돌아옵니다. 저건 더이상 향수병도 아니고 귀소본능이에요. 땅을 파는 능력이 있다고 들었는데 내버려두면 두 번 다시 못찾을겁니다.,"He'll never come back. That is no longer a homesickness but an homing instinct. I hear he has the ability to dig, but if you let go, you'll never find him again.",
,56,9,꿈의 세계,렉스톤,변신,아니야! 난 돌아올거야! 분명히 돌아올거라구!,No! I'll be back!,
,56,10,꿈의 세계,제피로스,,어디로 돌아오는데?,To where?,
,56,11,꿈의 세계,렉스톤,변신,내 집으로! 아니 여기로! 여기로 돌아온다고 말한거야! 여기가 내 집이나 마찬가지란 말이지!,"My home! No, to here! I mean I'll be back to here! This is my hometown!",
,56,12,꿈의 세계,주인공,,더이상 렉스톤의 눈에선 총기를 찾을수 없었다. 지부장님의 판단을 믿기로 하고 난 솔라와 아르하의 여신님을 찾을 의논을 시작했다.,"No more brightness was found in Rexton's eyes. After deciding to trust the manager's judgment, I began to discuss finding the goddess of Archa with Solar",
,56,13,꿈의 세계,솔라,,"드래곤 슬레이어에게 묻는게 가장 빠르겠지. 자, 가자! 증명의 탑으로!",It would be the quickest thing to ask Dragon slayer. Let's go! Tower of Proof!,Dragon slayer
,56,14,꿈의 세계,제피로스,,안가! 진짜 지긋지긋하네. 50층을 또 올라가라고?,No! I'm tired of it. Go up the 50 floor again?,
,56,15,꿈의 세계,솔라,,여신님을 찾기 위한 길이다! 50층이든 100층이든 얼마든지 올라가야지!,It is the way to find the goddess! We should go up to the 50 or 100 floors!,
,56,16,꿈의 세계,주인공,,"나도 반대입니다. 일단 괜히 갔다가 또 헬카이저만 만날지도 모르고, 만난다 하더라도 그놈은 절대로 대답 안해줄걸요.","I'm against it, too. We might  see Hell kaiser again, and even if we do, he never answers.",
,56,17,꿈의 세계,제피로스,,거기다 그놈도 여신을 찾아야 한다고 말했어. 알고 있었다면 그때 벌써 말을 했겠지.,"On top of that, he told me he had to find the goddess, too. If he had known, he would have already spoken.",
,56,18,꿈의 세계,주인공,,솔라는 진심으로 실망한 표정을 지었다. 여신에 대한 단서가 없어서 나온 표정이길 바란다.,Solar gave a look of disappointment. I hope it's a look from lack of a clue to the goddess.,
,56,19,꿈의 세계,제피로스,,그런데 여신님을 만난 건 드래곤 슬레이어 뿐만이 아니잖아? 고대신룡은 뭐 아는거 없어?,"But Dragon slayer isn't the only one who has met goddess, is it? God dragon, do you know anything?",
,56,20,꿈의 세계,고대신룡,변신,미안하지만 전혀 기억나질 않아. 그냥 꿈 속에서 들은 목소리에 가까웠지. 거기다 그때 난 죽어있어서 대화를 못했어.,"I'm sorry, but I can't remember at all. It was more like a voice in a dream. And there I couldn't talk then because I was dead.",
,56,21,꿈의 세계,주인공,,"하, 하하하...... 뭐 결국 손에 남은 단서는 하나도 없네.","Well, after all, we don't have any clues left.",
,56,22,꿈의 세계,주인공,,허탈한 웃음을 짓고 있으려니 짐을 한아름 안고 지나가던 디트가 호통을 쳤다.,"As I was making a despairing laugh, Deet, who was carrying luggage, yelled.",
,56,23,꿈의 세계,디트,화남,아까부터 듣고있자니 더럽게 꾸물거리고 있네! 뭘 찾으려면 일단 발로 뛰어 이 멍청이들아!,"You've been dragging your feet! To find something, run on your feet!",
,56,24,꿈의 세계,솔라,,그대의 말도 물론 동의한다. 하지만 아무런 정보가 없는 상태에서......,"I agree with you, of course. But without any information ......",
,56,25,꿈의 세계,디트,웃음,"오, 그래서 지금 나보다 머리가 좋아서 토달고 있는거냐?","Oh, is that why you're doing it now because you're smarter than me?",
,56,26,꿈의 세계,디트,화남,아까부터 듣자하니 니놈이 제일 답답해! 증명의 탑 갈 생각밖에 안하고! 리더면 리더답게 굴어! 냉큼 안나가고 뭐해!,"I heard earlier and you're the most stuffy! Look for another place besides the tower! If you are a leader, be a leader! Get out of here and find it!",
,56,27,꿈의 세계,주인공,,"디트는 발길질을 해대며 우릴 쫓아냈다. 본부장님은 씨익 웃고 계셨고, 렉스톤은 결국 울었다......","Deet kicked us out. The manager was smiling, and Rexton finally cried...",Deet
,,,,퀘스트,,"빛의 봉인지를 탐험하며 여신의 흔적을 찾아보자. (0/5)
(빛의 봉인지에 퀘스트 표시)",Search the land of lights and find trace of goddess.,
,57,1,아르하 월드,주인공,,"솔라, 궁금한게 하나 있는데요. 여신님은 아르하를 처음으로 만든 여신인가요?","Solar, I hava a question. Is the goddess the first goddess to make Archa?",Solar
,57,2,아르하 월드,솔라,,"아니. 태초에 빛과 어둠이 있었고, 모든 것은 거기로부터 태어났지. 너희 유타칸도 마찬가지다.","No. In the beginning, there was light and darkness, and everything was born from there. The same goes for your Utahkhan.",
,57,3,아르하 월드,주인공,,아...... 그렇다면 여신님도 그 태초의 빛과 어둠에서 태어나신거군요?,Ah......Then the goddess were born in the beginning light and darkness?,
,57,4,아르하 월드,제피로스,,아니. 여신님은 아르하라는 세계 자체에서 태어나신 분이다. 이 세상은 의지가 있지. 너무나 거대한 탓에 우리로선 인지할 수도 없지만.,No. The goddess was born in the Arcah herself. The world has a will. It is too big for us to recognize.,
,57,4,아르하 월드,제피로스,,"태초의 아르하는 생명을 탄생시키길 바랬고, 그래서 여신님은 탄생을 관장하는 힘을 가지게 되셨다.",The beginning of Archa wanted to bring life. So the goddess had the power to control birth.,
,57,5,아르하 월드,주인공,,그러면......,So...,
,57,6,아르하 월드,렉스톤,변신,빨리 안가고 뭐해! 서두르라고!,Why are we stay here? Hurry up!,
,57,7,아르하 월드,주인공,,렉스톤이 내 말을 끊고 발걸음을 옮겼다. 화는 나지 않았다. 왜냐하면 렉스톤이 울고 있었기 때문이다......,Rexton interrupted me and moved on. I was not angry. Because Rexton was crying...,Rexton
,,,,퀘스트,,"바람의 봉인지를 탐험하며 여신의 흔적을 찾아보자. (0/5)
(바람의 봉인지에 퀘스트 표시)",Search the land of wind and find trace of goddess.,
,58,1,아르하 월드,주인공,,아까 물어보려고 하던건데요. 그렇다면 빛의 신 아모르나 어둠의 신 카데스도 어딘가 다른 세상의 의지에서 태어난 건가요?,"I was just going to ask you. So, Amorru and Kades were born somewhere out of the will of another world?","Amorru
Kades"
,58,2,아르하 월드,고대신룡,변신,"아니. 그 둘은 특별하다. 태초의 빛과 어둠에서 태어난 신들이지. 그래서 아모르 님은 빛의 상징, 카데스는 어둠의 상징이다.","No. They are special. The gods were born in the beginning light and darkness. So Amorru is a symbol of light, and Kades is a symbol of darkness.",
