,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역
,28,1,불의 봉인지,주인공,,이상했다. 탑 곳곳을 뒤져도 수호룡의 석상이 보이질 않았다.,"It was strange. Even if I looked around the tower, I could not see the statue of guardian dragon."
,28,2,불의 봉인지,솔라,,어떻게 된거지? 왜 수호룡의 석상이 보이질 않는거야?,What happened? Why can't we see the statue
,28,3,불의 봉인지,주인공,,어쩌지? 수호룡의 봉인을 풀지 못하면 고대신룡도 구할 수 없을텐데.,"What shall we do? If we don't break the seal of guardian dragon, we won't be able to save God dragon."
,28,4,불의 봉인지,드래곤 슬레이어,,비리비리한 놈이라 봉인도 못견디고 죽어버렸나보지.,He must have died before he could bear the seal.
,28,5,불의 봉인지,주인공,,난 화를 참지 못하고 옆에 있던 돌맹이를 드래곤 슬레이어에게 힘껏 던졌다.\n하지만 돌맹이 따위가 드래곤에게 상처를 줄 수 있을 리 없다.,I couldn't contain my anger and threw the stone to Dragon slayer.\nBut a stone can not hurt the dragon.
,28,6,불의 봉인지,드래곤 슬레이어,,애 쓴다.,Cute.
,28,7,불의 봉인지,주인공,,피식 웃으면서 끝까지 날 조롱하는 드래곤 슬레이어.\n무의미한 다툼이었다. 난 끓는 화를 식히며 다시 석상을 찾기 시작했다.,Dragon Slayer laughs and laughs at me all the way.\nIt was a pointless argument. I cooled off and started looking for the statue again.
,28,8,불의 봉인지,렉스톤,,없구만.,Nothing.
,28,9,불의 봉인지,주인공,,렉스톤이 우울하게 한마디를 내뱉었다. 그렇다면 이제 고대신룡은 끝이다.\n나도 모르게 눈물이 날 뻔 했다.,"Rexton uttered a gloomy remark. If so, God dragon is over.
\nTears nearly flowed out before I knew it."
,28,10,불의 봉인지,솔라,,희망을 잃지 마라.,Don't give up.
,28,11,불의 봉인지,주인공,,하지만 수호룡 6마리가 모이지 않으면 고대신룡을 구하는게......,But if there are no six guardians ......
,28,12,불의 봉인지,솔라,,"6마리가 모이지 않는다고 불가능한 것은 아니다. 희망을 가져라.\n당장은 무리지만, 남은 수호룡의 힘을 모아서라도 반드시 빛의 상징을 되살리겠다.","It's not impossible not to gather six. Have hope.\nIt is too much for now, but I will revive the symbol of light even if I gather the strength of the remainings."
,28,13,불의 봉인지,주인공,,솔라의 든든한 말은 큰 힘이 되었다.\n서둘러서 나머지 수호룡의 봉인을 풀 수밖에 없다.,Solar's strong words were a great help.\nI have to hurry and set the rest of the guardian dragon free.
,28,14,불의 봉인지,주인공,,"한가지 궁금한 것은, 불의 수호룡은 과연 누구였을까 하는 점이다.","One question is, who was the guardian of fire?"
,,,,퀘스트,33,땅의 봉인지를 조사하자.\n(땅의 봉인지에 퀘스트 표시)\n(클리어 후 땅의 봉인지 오픈 및 수색지역 오픈),Search the land of earth
,29,1,땅의 봉인지,주인공,,다행히 땅의 봉인지에는 드래곤의 석상이 있었다.\n그리고 석상이 있다는 말은......,"Fortunately, there was a dragon statue on the land of fire.\nAnd that statue means...."
,29,2,땅의 봉인지,렉스톤,,헬카이저의 그림자다! 조심해!,Shadow! Watch out!
,29,3,땅의 봉인지,주인공,,오히려 반갑구만! 순식간에 끝내주마!,How nice to see you! 
,,,,퀘스트,34,헬카이저의 그림자를 물리쳐라\n(땅의 봉인지에 퀘스트 표시)\n(전투 퀘스트),Defeat the shadow of Hell kaiser.
,30,1,땅의 봉인지,포폰,,"으아악! 안돼, 안돼!","Aagh! No, no!"
,30,2,땅의 봉인지,주인공,,새로운 드래곤은 눈을 뜨자마자 난동을 피우기 시작했다.,"As soon as the dragon opened his eyes, he started to make a disturbance."
,30,3,땅의 봉인지,솔라,,포폰! 진정해라. 싸움은 끝났다.,Popon! Calm down. The fight is over.
,30,4,땅의 봉인지,제피로스,,"그래, 형편없이 져버렸지.","Yes, we lost."
,30,5,땅의 봉인지,포폰,,헬카이저가! 헬카이저가 오고 있어!,Hell kaiser! Hell kaiser is coming!
,30,6,땅의 봉인지,주인공,,하지만 포폰이란 드래곤은 정신을 차리지 못하고 바닥을 구르고 있었다.\n드래곤 슬레이어가 기분 좋게 웃는 것이 아주 화가 났다.,But the dragon Popon was distracted and was rolling on the floor.\nI was very upset when Dragon slayer smiled merrily.
,30,7,땅의 봉인지,드래곤 슬레이어,,크하하하하! 재미있군! 아르하의 드래곤이 이렇게 재밌는걸 이제야 알았어!,Ha ha ha ha ha ha ha! That is interesting! The Dragon of Archa is so funny. Now I know!
,30,8,땅의 봉인지,렉스톤,,진정해 포폰! 헬카이저는 없다!,Popon! Calm down. Hell kaiser is gone now.
,30,9,땅의 봉인지,주인공,,바닥을 뒹굴던 드래곤은 렉스톤의 말에 살며시 고개를 들었다.,"Dragon, who was rolling on the floor, looked up silently at Rexton's words."
,30,10,땅의 봉인지,포폰,,"어, 없다고?",Go...gone?
,30,11,땅의 봉인지,렉스톤,,"지금 여기엔 없다. 이녀석, 겁 많은 건 여전하구만.","It is not here now. Boy, there's nothing left to be afraid of."
,30,12,땅의 봉인지,포폰,,"하, 하지만 솔라도 제피로스도 봉인당하고! 나랑... 또... 어... 나랑...","Ha, but Solar and Zephyros is sealed, too! Me and..."
,30,13,땅의 봉인지,주인공,,포폰은 고개를 갸웃거렸다. 그리고 머리를 감싸쥐었다.,Popon tilted his head. He then held his head in his hand.
,30,14,땅의 봉인지,포폰,,누군가... 누군가가 있었는데. 나랑 또......,Somebody ... There was someone. Me and ...
,30,15,땅의 봉인지,주인공,,불의 수호룡 아닌가요?,Guardian dragon of fire?
