,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역,
,84,1,증명의탑,아스타로트,화남,난 어둠의 주술사 아스타로트! 너 정도는 아니겠지만 나 역시 카데스의 힘을 받았다! 거기에 이곳 아르하의 힘을 더하면 너 정도는...!,"I am Astaroth, dark sorcerer! I may not be as good as you, but I've also got Kades's power! If I add the power here of Archa, you will be ...!",
,84,2,증명의탑,블리자드,,안됩니다! 카데스의 힘과 아르하의 기운은 함께 사용할 수 없는 힘입니다!,No way! Power of Kades and Archa are mutually exclusive!,
,84,3,증명의탑,아스타로트,화남,시끄럽다! 내가 하겠다는 일에 일일이 토달지 마!,Silence! Do not disturb me!,
,84,4,증명의탑,이그나,,안됩니다! 그 정도 힘으로는 엔더 드래곤을 쓰러트릴 수 없어요! 목숨만 잃게 될게 뻔합니다!,No way! You can't beat Ender Dragon with that much power! You will lose your life!,
,84,5,증명의탑,아스타로트,보통,내 마지막 선택 정도는 그냥 내버려둬라. 내가 바라는 일이다.,Leave my last choice alone. It's what I want.,
,84,6,증명의탑,주인공,,아스타로트의 발 밑에 검붉은 마법진이 펼쳐졌다. 그리고 아스타로트의 손에서 밝은 빛이 흩뿌려지며 마법진 위에 떨어졌다.,Dark red Magic Circle appeared under her feet. And a bright light fell from Astaroth's hand onto the Magic Circle.,
,84,7,증명의탑,주인공,,그 순간 아스타로트의 얼굴이 고통으로 일그러졌다. 꽉 깨문 입술이 터져 피가 흘러나오는게 보였다.,"At that moment, Astaroth's face was distorted with pain. I could see blood flow out of her lips, which she bit tightly.",
,84,8,증명의탑,드래곤 슬레이어,변신,저거 진짜 저러다 죽는다. 쉴라 여신은 아직이냐?,She killing herself. Where is Shilla?,
,84,9,증명의탑,솔라,,"안돼! 제발, 여신님 빨리 와주세요! 시렐라 님이 죽습니다!","No! Please, my goddess, come quickly! Sirella is going to die!",
,84,10,증명의탑,엔더 드래곤,,그만둬라. 그 힘을 사용하면 넌 순환에서 벗어나게 된다. 두 번 다시 여기 있는 자들과 만나지 못하게 된다.,"Stop it. If you use that power, you will get out of circulation. You will never see anyone here again.",
,84,11,증명의탑,렉스톤,변신,"그래, 쟤까지 말리는데 뭐하러 하는거야!","Yeah, you don't have to go that far.",
,84,12,증명의탑,엔더 드래곤,,다시 한번 경고한다. 날 막기엔 부족한 힘이다. 그리고 넌 영혼까지 조각나 두 번 다시 이 땅에 태어나지 못한다.,I warn you once again. It's not enough to stop me. And you will not born again because your soul is broken.,
,84,13,증명의탑,아스타로트,웃음,큭큭큭. 왜지? 왜 이렇게 날 말리려고 드는거냐 엔더 드래곤?,"Why? Why are you trying to stop me, Ender Dragon?",
,84,14,증명의탑,주인공,,아스타로트는 고통스러운 와중에 웃음을 보이며 엔더 드래곤에게 물었다. 확실히 이상했다. 말릴 이유는 전혀 없었다.,Astaroth smiled and asked Ender Dragon in pain. It was certainly strange. There was no reason for Ender Dragon to stop her.,
,84,15,증명의탑,엔더 드래곤,,무의미하다. 넌 내가 의도하는 '파멸'과는 다른 '파멸'로 치닫고 있다. 무의미한 파멸은 내 의도된 파멸과는 다르다.,It's meaningless. You are heading for another 'doom' from what I mean. Inane destruction is not what I intended.,
,84,16,증명의탑,아스타로트,보통,이 파멸 저 파멸 나눠서 구분하는 거냐? 멍청한 소리구나. 우리에겐 끝은 그냥 끝일 뿐이다. 그리고 그 끝을 선택하는건 나 자신이다.,How could you distinguishing the doom? That's silly. The end is just the end for us. And it is myself to choose the end.,
,84,17,증명의탑,주인공,,아스타로트의 대답에 엔더 드래곤이 흠칫 놀란게 보였다.,Ender Dragon looked surprised at Astaroth's answer.,
,84,18,증명의탑,아스타로트,보통,아직 언니가 살아있다면 됐다. 그러면 아르하는 다시 살아나겠지. 너와 나만 없어지면 아르하는 깨끗해진다.,"If my sister was still alive, it will be fine. Then Archa will revive. It will be clean if you and I are gone.",
,84,19,증명의탑,다크나이트,,시렐라님 안됩니다!,"Sirella, no!",
,84,20,증명의탑,아스타로트,보통,작별이다 수호룡들아. 아르하를 부탁한다.,"Goodbye, guardians. Do your best for Archa.",
,84,21,증명의탑,주인공,,그리고 마법진을 중심으로 강렬한 빛이 터져나왔다. 난 그만 눈을 감고 말았다.,Then a strong light exploded around the Magic Circle. I just closed my eyes.,
,,,,,,"밝은 빛을 확인하자
(증명의 탑에 퀘스트 표시)",Check the light.,
,85,1,증명의탑,주인공,,밝은 빛이 잦아들고 난 뒤 그곳에는...... 아스타로트가 남았다.,"After the bright light died down, Astaroth was still there.",
,85,2,증명의탑,아스타로트,보통,......,(silent),
,85,3,증명의탑,주인공,,"아스타로트가 다시 한번 지팡이를 들어올려 마법진의 중심을 내리쳤다. 한 번, 두 번...... 결국 쾅쾅 두들기기 시작했다.","Astaroth struck the center of the Magic Circle with her staff again. Once, twice... at last she began to pound.",
,85,4,증명의탑,아스타로트,화남,......익!,What?!,
,85,5,증명의탑,주인공,,그 순간 포폰이 용맹하게 달려들어 아스타로트를 덮쳤다! 둘은 데굴데굴 굴러서 마법진 위를 벗어났다.,"At that moment, Popon pounced on Astaroth! Both rolled out of the Magic Circle.",
,85,6,증명의탑,포폰,,"아야! 잘, 잘못했어요 시렐라 님! 때리지 마세요!","Ouch! Well, I'm sorry, Sirella! Don't hit me!",
,85,7,증명의탑,솔라,,잘했어 포폰!,Good job!,
,85,8,증명의탑,주인공,,얼굴이 벌겋게 달아오른 게 화가 난 건지 부끄러운건진 모르겠지만 아스타로트가 포폰에게 온갖 욕설을 쏟아내기 시작했다.,"Her red face may be angry or embarrassing, but she has begun to pour out all kinds of abuse at Popon.",
,85,9,증명의탑,쉴라 여신,,"다행이군요. 시간에 안 늦은 것 같습니다. 그리고 시렐라, 그런 나쁜 말은 하면 안돼.","I'm so lucky I'm not late. And Sirella, watch your language.",
,85,10,증명의탑,아스타로트,화남,"어, 언니?!","Uh, sister?!",
,85,11,증명의탑,주인공,,"여신님이 나타났다! 어떠한 예고도 없이, 아스타로트의 등 뒤에 밝은 빛무리로 갑자기 모습을 드러내셨다.","The goddess appeared! Without any notice, she suddenly appeared behind Astaroth's back in bright light.",
,85,12,증명의탑,다크나이트,,여신님......,My goddess.,
,85,13,증명의탑,쉴라 여신,,오랜만이군요 다크나이트. 현실감각을 갖춰서 돌아왔습니다.,Long time no see. Dark knight. I'm back with 'Reality',
,85,14,증명의탑,다크나이트,,어...... 네?,Uh ...... yeah?,
,85,15,증명의탑,주인공,,당황한 다크나이트의 표정에 빛무리가 웃는 듯이 떨렸다. 역시...... 어디선가 듣고 계셨구나.,A group of lights shook at the puzzled look of the Dark knight. So... she has been listening somewhere.,
,85,16,증명의탑,쉴라 여신,,다들 고생 많으셨습니다. 덕분에 충분히 힘을 모을 수 있었어요. 아르하는 지켜질겁니다.,Thank you for all of this. I was able to recover. Archa will be safe from now on.,
,85,17,증명의탑,엔더 드래곤,,"불가능하다. 파멸은 약속된 것이다. 쉴라, 너 역시 끝에 서있을 뿐이다.","That's impossible. Destruction is a promise. Shilla, you're just standing at the end.",
,85,18,증명의탑,쉴라 여신,,고작 날개 한 장 주제에 말은 거창하군요. 그리고 그 이름으로 날 부르지 마세요.,You talk big without even knowing your place. And don't call me by that name.,
,85,19,증명의탑,주인공,,분위기는 한순간에 변했다. 여신님의 한마디 한마디가 든든하기 그지 없었다. 아스타로트의 표정만 빼면 말이다.,The atmosphere changed in a moment. Every word of the goddess was too reliable. Except for Astaroth's look.,
,85,20,증명의탑,솔라,,여신님......,My goddess...,
,85,21,증명의탑,쉴라 여신,,"솔라, 당신에게는 그저 감사할 따름입니다. 다른 수호룡을 이끌고 여기까지 잘 와주셨군요.","Thank you, Solar. You led the other guardian dragons here.",
,85,22,증명의탑,솔라,,"아닙니다. 유타칸 테이머의 도움과, 모든 수호룡의 의지가 있어서 해낼 수 있었습니다.",No. I could do it because of tamer's help and will of every guardian dragons.,
,85,23,증명의탑,쉴라 여신,,모든이라...... 처음부터 '모든'은 아니었겠죠?,"Every... Not ""Every' from the start, right?",
,85,24,증명의탑,이그나,,아니 저희도 나름의 사정이......,We had our own reasons.,
,85,25,증명의탑,주인공,,당황한 이그나가 말을 주워담았지만 결국 배신자의 변명일 뿐이었다. 놀랍게도 여신님은 흔쾌히 그 말을 받아들였다.,"Igna took back his words when he was embarrassed, but it was only an excuse for a betrayer. To my surprise, the goddess accepted the words gladly.",
,85,26,증명의탑,쉴라 여신,,"이해합니다. 여러분 셋은 시렐라의 뜻을 존중했을 뿐이겠죠. 하지만 시렐라, 그때 네 의지는 알고 있었지만 우리로선 받아들일 수 없는 제안이었구나.","I understand. I guess the three of you just respected Sirella's will. But Sirella, at the time, I could understand your will, but it was an offer we couldn't accept.",
,85,27,증명의탑,주인공,,아스타로트는 고개를 숙인 채 아무 말도 없었다.,Astaroth lowered her head and said nothing.,
,85,28,증명의탑,쉴라 여신,,악에 굴복하고 빛을 지우는 일은...... 설령 필요하다 하더라도 용기가 필요한 일이겠지. 네 판단은 존중해. 우린 자매니까.,It takes courage to give up light even if it is necessary. I respect your judgment. Because we're sisters.,
,85,29,증명의탑,쉴라 여신,,하지만 난 또다시 같은 일이 벌어져도 같은 선택을 할거야. 너 역시 나와 같은 대답을 할 수 있을지는 잘 모르겠구나.,But I will make the same choice if it happens again. I'm not sure you'll be able to give me the same answer.,
,85,30,증명의탑,주인공,,아스타로트는 여전히 아무 말도 없었다.,Astaroth was still silent.,
,85,31,증명의탑,쉴라 여신,,"자, 엔더 드래곤. 함께 떠나보죠.","All right, Ender Dragon. Let's go together.",
,85,32,증명의탑,엔더 드래곤,,아르하의 파멸이 있기 전까지는 난 어디로도 떠나지 않는다.,I won't leave anywhere until Archa turns to ruin.,
,85,33,증명의탑,쉴라 여신,,권유한게 아닙니다. 당신을 이 세계에서 뜯어내주죠.,This is not a suggestion. I'll take you out from Archa.,
,85,34,증명의탑,주인공,,"그 말을 끝으로, 빛이 점점 커지기 시작했다. 온 몸에 따스한 기운이 감도는 것이 아주 편안해졌다.","After that, the light began to grow and make me warm. The warmth of the whole body made me very comfortable.",
,85,35,증명의탑,드래곤 슬레이어,변신,결국은 저 선택인가.,Is it that choice after all?,
,85,36,증명의탑,고대신룡,변신,어떻게 할 수 없지 우리로선. 여신의 선택이니 지켜볼수밖에.,"We can't do anything. It's the choice of the goddess, so we'll have to wait and see.",
,85,37,증명의탑,렉스톤,변신,"아, 역시......","Oh, so be it.",
,85,38,증명의탑,주인공,,응? 무슨 말이지? 드래곤들의 대화가 이해가 가질 않았다. 여신님이 무슨 선택을 한건지 물어보자 충격적인 대답이 들려왔다.,"Huh? What do you mean? I can't understand the conversation between the dragons. When I asked what choice she had made, a shocking answer came.",
,85,39,증명의탑,솔라,,"방금 시렐라님이 한 것과...... 똑같다. 다른 점이라면 카데스의 힘 없이, 순수한 아르하의 힘만으로 엔더 드래곤을 추방하는거지.","Just like... what Sirella just did. The other thing is, without the power of Kades, she can expel Ender Dragon with pure power of Archa.",
,85,40,증명의탑,포폰,,아르하 곳곳에 흔적만 남아있던 '강림의 돌'의 힘을 모두 모아오셨어. 딱 한 번만 쓸 수 있겠지만......,she collected all the power of the advent stone that was left in Archa. It could only be used once...,
,85,41,증명의탑,제피로스,,그걸로 충분하다. 여신님은 엔더 드래곤과 함께 사라지실거야.,That's enough. The goddess will disappear with Ender Dragon.,
,85,42,증명의탑,주인공,,뭐?! 그러면 안되잖아요! 왜 여신님이 함께 사라져야 하는거죠?,What?! She can't do that! Why should the goddess disappear?,
,85,43,증명의탑,다크나이트,,시렐라님 때와는 상황이 다르다. 무의미한 희생이 아니야. 지금 여신님이 품은 힘은 엔더 드래곤을 쫓아내기에 충분하다. 혼자만의 희생이 아냐.,Situation is different from Sirella. It is not a meaningless sacrifice. The power of the goddess now is enough to drive out the Ender Dragon. It's not a sacrifice alone.,
,85,44,증명의탑,블리자드,,"우리 힘이 부족한 탓이다. 카데스의 날개 하나, 고작 그거 하나를 상대하는데 여신님이 희생되어야 하다니......","This is because we are weak. Wing of Kades, only one wing of it, and the goddess must be sacrificed for it.",
,85,45,증명의탑,이그나,,......앞으로 더 강해져야 해. 카데스 정도는 꿈쩍도 하지 않고 상대할 수 있을 정도로.,"I have to be strong, enough to get rid of Kades easily.",
,85,46,증명의탑,주인공,,아무렇지도 않게 여신님의 마지막을 받아들이는 수호룡들의 모습은 당황스러울 정도였다. 필요한 희생이라고 그냥 감수한다는건가?,Their acceptance of the goddess's end embarrassed me. Are they just going to make the necessary sacrifices?,
,85,47,증명의탑,고대신룡,변신,힘을 가진 여신의 의지다. 쉽게 말하면 '고작 인간 주제에' 함부로 나서지 마라.,"It is the will of the goddess. To put it simply, the opinion of 'human' doesn't matter.",
,85,48,증명의탑,주인공,,"하지만 이건 그래도...... 너무하잖아! 이제 겨우 모습을 밝히고, 수호룡과 동생도 만났는데! 아스타로트! 너도 이렇게 끝내고 싶은 건 아니잖아!",But this is still... That's too much! She has barely met guardians and her sister! Astaroth! You don't want to end like this!,
,85,49,증명의탑,드래곤 슬레이어,변신,가만 있어라. 너 혼자 날뛴다고 해결될게 아니니.,Hold on. You can't disturb it.,
