,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역
,80,1,증명의 탑,드래곤 슬레이어,변신,빨리 좀 와라.,Welcome
,80,2,증명의 탑,주인공,,"아니나다를까, 50층에서 우릴 기다리던건 드래곤 슬레이어였다.",Dragon slayer was waiting for us on the 50th floor.
,80,3,증명의 탑,렉스톤,변신,좋아! 삐뚤어져도 힘은 쌘 놈이 왔군! 꽤 도움이 되겠어!,Good! Bad but strong arm is here! That would be helpful!
,80,4,증명의 탑,드래곤 슬레이어,변신,"저놈은 볼 때마다 막말이 느는군. 아무튼 여기 위, 꼭대기에 뭔가 거대한 놈이 왔던데. 뭐하는 놈이냐.","I hate him. Anyway, there's something big at the top. Who is he?"
,80,5,증명의 탑,주인공,,파멸의 드래곤 '엔더 드래곤'이야. 카데스의 날개 중 한장으로 만들어졌다는데.,"It's the dragon of doom, Ender Dragon. It's made of one of the wings of Kades."
,80,6,증명의 탑,드래곤 슬레이어,변신,"호오, 그건 또 재미있는 놈이군.","Oh, that's interesting."
,80,7,증명의 탑,고대신룡,변신,만만치 않은 적이다. 너도 빨리 합세해.,He is a formidable enemy. You should join us.
,80,8,증명의 탑,드래곤 슬레이어,변신,좋지 좋아. 나 말고 '파멸'이란 이름을 쓰는 놈이 있을줄은 몰랐군. 어디 한번 겨뤄볼까.,That's great. I didn't expect anyone would use that nickname other than me. Let's see.
,80,9,증명의 탑,주인공,,"드래곤 슬레이어가 씨익 웃었다. 끔찍한 웃음이었지만, 지금 이순간만큼은 든든한 웃음이었다.","Dragon slayer grinned. It was a terrible, but as far as this moment, it felt secure to me."
,,,,퀘스트,,"증명의 탑 51층에 도달하자
(증명의 탑에 퀘스트 표시)",Reach to 51th floor of the tower of proof.
,81,11,증명의 탑,주인공,,엔더 드래곤은 증명의 탑 꼭대기에서 하늘을 바라보고 있었다. 우릴 발견했음에도 꼼짝도 하지 않은 채로 말이다.,Ender dragon looking up the sky at the top to the tower. Even though he saw us.
,81,11,증명의 탑,렉스톤,변신,저러고만 있어도 갑자기 아르하가 쾅 하고 터지는건가?,Is he demolishing Archa with that condition?
,81,10,증명의 탑,포폰,,"그, 그럴리가! 뭔가 힘을 모으고 있는거겠지?",He may be conctrating.
,81,14,증명의 탑,제피로스,,그런 것치고는 우릴 너무 신경 안쓰는데.,He doesn't care too much about us for that.
,81,15,증명의 탑,주인공,,"적이 너무 얌전한데, 라는 생각을 한 순간 갑자기 한줄기 보랏빛 섬광이 우릴 가로질러 엔더 드래곤에게 내리꽂혔다. 거대한 폭발과 먼지가 피어올랐다.","At the moment, a purple flash of light flew across us to Ender Dragon. Huge explosions and dust rose."
,81,16,증명의 탑,드래곤 슬레이어,변신,뭘 보고만 있어? 왔으면 싸워야지.,What are you waiting for? We have to fight.
,81,17,증명의 탑,주인공,,좀 보고 싸우자! 이쪽도 전략을 준비한다던가 나름의 준비를 해야지!,Wait! We should prepare strategy or whatever!
,81,18,증명의 탑,드래곤 슬레이어,변신,싸우는데 뭘 자꾸 절차를 나누는거냐. 얼른 헤치우고 여신이나 기다리자고.,What are you waiting for? Let's get rid of him and wait for the goddess.
,81,19,증명의 탑,고대신룡,변신,그 말은 동의한다. 우물쭈물거릴 시간은 없어.,I agree with that. There's no time to hesitate.
,81,20,증명의 탑,주인공,,의외로 고대신룡까지 드래곤 슬레이어의 의견에 동의했다. 그리고 피어오른 먼지 사이로 사악한 안광이 느껴졌다. 드디어 엔더 드래곤이 우릴 쳐다본 것이다.,"Surprisingly, even God dragon agreed with Dragon slayer. And I could feel the evil eyes through the well-blown dust. Finally, Ender Dragon looked at us."
,,,,퀘스트,,"엔더 드래곤을 무찌르자
(증명의 탑에 퀘스트 표시) (패배 퀘스트) (동료 드래곤만 등장, 드슬 포함)",Battle with Ender dragon.
