구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,캐릭터 번자,표정,대사 한글,대사 영문,대사 번자,연출 종류,사운드,INDEX,CODE
,9,1,꿈의 세계 월드맵,누리,Nuri,諾莉,슬픔,"세상에, 무슨 일이야?!",Oh my god! what happened?!,天啊，發生了什麼事？!,,,NOORI_SAD,"SET_INFO(SpeechPopupType::NOORI_SAD, _MSG(idx++));"
,9,2,꿈의 세계 월드맵,즈믄,Zimon,茲門,보통,어서 지부장님을 모셔올게!,I'll call the manager!,我馬上去把支部長請來!,,,ZUMUN_NORMAL,"SET_INFO(SpeechPopupType::ZUMUN_NORMAL, _MSG(idx++));"
,9,3,꿈의 세계 월드맵,주인공,Player,Player,,"고대신룡을 보자마자 눈치 빠른 즈믄이 저 멀리 사라진다.\n누리는 어쩔 줄 몰라하며 고대신룡을 살펴보고 있었고, 렉스톤은 감격에 겨워하고 있었다.","Zimon went away and Nuri was looking at God dragon in dismay, and Rexton was overwhelmed with emotion.",一看到古代神龍，吉蒙迅速地消失在到遠處。諾莉不知所措地打量著古代神龍，而雷克斯頓則滿懷激動。,,,ME,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,9,4,꿈의 세계 월드맵,렉스톤,Rexton,雷克斯頓,,드디어! 드디어 고향에 돌아왔다!,Finally! I'm home!,終於！終於回到故鄉了！,,,REXTON_CHO,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,9,5,꿈의 세계 월드맵,주인공,Player,Player,,전초기지에 도착하자마자 고함을 지르는 렉스톤의 모습에 누리가 눈살을 찌푸렸다.,Nuri raised her eyebrows at Rexton shouted as soon as reached base camp.,一到前哨基地，雷克斯頓大聲喊叫的樣子讓努里皺起了眉頭。,,,ME,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,9,6,꿈의 세계 월드맵,누리,Nuri,諾莉,화남,누구야 저 드래곤은? 왜 갑자기 고함을 지르고 그래?,Who's that dragon? Why it makes a noise?,那隻龍是誰？怎麼突然大聲喊叫？,,,NOORI_ANGRY,"SET_INFO(SpeechPopupType::NOORI_ANGRY, _MSG(idx++));"
,9,7,꿈의 세계 월드맵,주인공,Player,Player,,렉스톤이라고 하는 드래곤이야. 아르하에서 G스컬을 만났을 때 도와줬지.\n덕분에 겨우 목숨만 부지해서 돌아왔어.,"It is a dragon named Rexton. He helped me when I met G-skull in Archa.\nThanks to him, I came back alive.",那隻龍叫雷克斯頓。在阿爾哈遇到G骷髏時，他幫了我們。\n多虧了他，我才勉強保住了性命回來。,,,ME,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,9,8,꿈의 세계 월드맵,누리,Nuri,諾莉,화남,G스컬이라고? 그녀석이 왜 또 나타난거야? 에스텔라에서 사라진 거 아니었어?,G-skull? Why? I though it disappeared in Estella.,G骷髏？他怎麼又出現了？不是在艾絲黛拉消失了嗎？,,,NOORI_ANGRY,"SET_INFO(SpeechPopupType::NOORI_ANGRY, _MSG(idx++));"
,9,9,꿈의 세계 월드맵,주인공,Player,Player,,카데스 때문에 겨우 살아났다고 하던데 글쎄...... 어쨌든 중요한 건 아니야!\n빨리 치료제를 가져와줘!,"He said he survived because of Kades. Well ... it doesn't matter anyway!, bring me a cure! Hurry!",聽說是因為卡德斯才勉強活下來的，不過......反正這不是重點！\n快帶來治療藥劑！,,,ME,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,9,10,꿈의 세계 월드맵,누리,Nuri,諾莉,보통,조금만 기다려. 이제 곧 즈믄이 지부장님을 모셔올거야.,Wait for a moment. Zimon will be picking the manager up soon.,稍等一下。很快吉蒙就會把支部長請來。,,,NOORI_NORMAL,"SET_INFO(SpeechPopupType::NOORI_NORMAL, _MSG(idx++));"
