구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,캐릭터 번자,표정,대사 한글,대사 영문,대사 번자,연출 종류,사운드,INDEX,CODE
,28,1,불의 봉인지,주인공,Player,Player,,이상했다. 탑 곳곳을 뒤져도 수호룡의 석상이 보이질 않았다.,"It was strange. Even if I looked around the tower, I could not see the statue of guardian dragon.",這很奇怪。即使翻遍了塔的各個角落，也找不到守護龍的石像。,,,,
,28,2,불의 봉인지,솔라,Solar,太陽龍,,어떻게 된거지? 왜 수호룡의 석상이 보이질 않는거야?,What happened? Why can't we see the statue,怎麼回事？為什麼看不到守護龍的石像呢？,,,,
,28,3,불의 봉인지,주인공,Player,Player,,어쩌지? 수호룡의 봉인을 풀지 못하면 고대신룡도 구할 수 없을텐데.,"What shall we do? If we don't break the seal of guardian dragon, we won't be able to save God dragon.",怎麼辦？如果無法解除守護龍的封印，就無法救出古代神龍了。,,,,
,28,4,불의 봉인지,드래곤 슬레이어,Dragon Slayer,屠龍者,,비리비리한 놈이라 봉인도 못견디고 죽어버렸나보지.,He must have died before he could bear the seal.,也許是這個虛弱的傢伙，無法忍受封印，結果死掉了吧。,,,,
,28,5,불의 봉인지,주인공,Player,Player,,난 화를 참지 못하고 옆에 있던 돌맹이를 드래곤 슬레이어에게 힘껏 던졌다.\n하지만 돌맹이 따위가 드래곤에게 상처를 줄 수 있을 리 없다.,I couldn't contain my anger and threw the stone to Dragon slayer.\nBut a stone can not hurt the dragon.,我忍不住憤怒，狠狠地把旁邊的石塊丟向龍殺手。\n然而，這樣的石塊根本不可能對龍造成任何傷害。,,,,
,28,6,불의 봉인지,드래곤 슬레이어,Dragon Slayer,屠龍者,,애 쓴다.,Cute.,真是徒勞無功。,,,,
,28,7,불의 봉인지,주인공,Player,Player,,피식 웃으면서 끝까지 날 조롱하는 드래곤 슬레이어.\n무의미한 다툼이었다. 난 끓는 화를 식히며 다시 석상을 찾기 시작했다.,Dragon Slayer laughs and laughs at me all the way.\nIt was a pointless argument. I cooled off and started looking for the statue again.,龍殺手一邊輕笑，一邊繼續嘲笑我。\n這場爭執毫無意義。我強壓著怒火，重新開始尋找石像。,,,,
,28,8,불의 봉인지,렉스톤,Rexton,雷克斯頓,,없구만.,Nothing.,什麼都沒有啊。,,,,
,28,9,불의 봉인지,주인공,Player,Player,,렉스톤이 우울하게 한마디를 내뱉었다. 그렇다면 이제 고대신룡은 끝이다.\n나도 모르게 눈물이 날 뻔 했다.,"Rexton uttered a gloomy remark. If so, God dragon is over.\nTears nearly flowed out before I knew it.",雷克斯頓沮喪地說了一句。那麼，古代神龍就結束了。\n我差點忍不住流下眼淚。,,,,
,28,10,불의 봉인지,솔라,Solar,太陽龍,,희망을 잃지 마라.,Don't give up.,別失去希望。,,,,
