구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,캐릭터 번자,표정,대사 한글,대사 영문,대사 번자,연출 종류,사운드,INDEX,CODE
,87,1,꿈의 세계,누리,Nuri,諾莉,슬픔,"으앙, 어떡해! 그럼 결국 여신님은 사라진거야?","Oh, no! So the goddess disappeared after all?",啊啊，怎麼辦！那麼最終女神真的消失了嗎？,,,,
,87,2,꿈의 세계,즈믄,Zimon,茲門,보통,어쩔 수 없는 선택이었겠지. 쉴라 여신님도 오죽했으면 그러셨을까.,"I guess she had no choice. Goddess wouldn't want to do that, too.",也許那是無可奈何的選擇吧。希拉女神也一定是別無選擇才做出那樣的決定。,,,,
,87,3,꿈의 세계,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,지도자로서 용기있는 결단을 하셨군요. 존경스럽습니다.,She made a courageous decision as a leader. I respect her.,作為領袖，您做出了勇敢的決斷。十分敬佩。,,,,
,87,4,꿈의 세계,주인공,Player,Player,,지부장님은 지금까지의 이야기를 빼놓지 않고 메모하셨다. 그리고 이야기의 마지막 부분에 대해서 물어보셨다.,The manager kept a note of what we had said so far. And asked about the last part of the story.,支部長沒有漏掉任何一個細節，將整個故事都記錄下來。然後，他問到了故事最後的部分。,,,,
,87,5,꿈의 세계,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,결국 엔더 드래곤은 남은거군요?,"So, Ender Dragon left, right?",最終，終焰龍還是留下了嗎？,,,,
,87,6,꿈의 세계,고대신룡,God Dragon,古代神龍,변신,남았다. 앞으로도 계속 남아있겠지.,Yes. He will remain.,留下了。未來也會一直存在。,,,,
,87,7,꿈의 세계,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,뭐...... 적어도 더이상 파멸이니 뭐니 하는 흉흉한 소리는 않겠군요. 영향은 미미할 것 같습니다. 한 번씩 혼이나 내주면 되겠고...... 솔라는 뭐라던가요?,Well... at least not the panic-stricken sound like destruction or doom. The impact is likely to be minimal. Sometimes you can beat him ...... what does Solar say?,嗯......至少不會再聽到什麼毀滅之類的可怕聲音了。影響應該不大。偶爾給它點教訓就行了......那太陽龍怎麼說？,,,,
,87,8,꿈의 세계,렉스톤,Rexton,雷克斯頓,변신,얼마만에 증명의 탑이 확장됐는지 모르겠다며 기뻐하던데?,He was pleased that the tower of proof was expanded.,她說不知道多久沒見過證明之塔擴展了，聽起來挺開心的。,,,,
,87,9,꿈의 세계,지부장,Ellis Finnell,艾莉絲·皮內爾,웃음,"그럴 것 같았습니다. 참, 아스타로트와 함께하던 수호룡들은 어디로 갔죠?","I thought so. By the way, where did the guardian dragons with Astaroth go?",我也覺得會是這樣。對了，和亞斯她錄一起的守護龍們去哪了？,,,,
,87,10,꿈의 세계,고대신룡,God Dragon,古代神龍,변신,"이그나는 불의 봉인지, 블리자드는 물의 봉인지, 다크나이트는 어둠의 봉인지로 돌아갔다. 각자 그곳에서 자신의 할 일을 하겠다더군.","Igan went to the land of fire, Blizzard, the land of water, and Dark knight is back to the land of dark. Each of them wants to do their job there.",伊格納回到了火焰的封印，暴風雪回到了水的封印，黑騎士則回到了暗影的封印。他們說會在那裡做自己的事情。,,,,
