구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,캐릭터 번자,표정,대사 한글,대사 영문,대사 번자,연출 종류,사운드,INDEX,CODE
,72,1,아르하 월드,주인공,Player,Player,,쓰러진 이그나에게 솔라가 최후의 일격을 가하려는 그때였다. 어디선가 나타난 검은 그림자가 솔라의 공격을 막아내고 이그나를 지켰다.,Solar was about to finish the Igna. A black shadow appeared from somewhere to protect Igna from Solar.,正當太陽龍準備對倒下的伊格納發出最後一擊時，一個黑色的影子從某處出現，擋住了太陽龍的攻擊，保護了伊格納。,,,,
,72,2,아르하 월드,솔라,Solar,太陽龍,,누구냐!,Who are you?!,是誰！,,,,
,72,3,아르하 월드,다크나이트,Dark Knight,黑騎士,,못할 짓은 안하는거다 솔라.,"You have to stop, Solar.",有些事，你最好別做，太陽龍。,,,,
,72,4,아르하 월드,주인공,Player,Player,,"검은 갑옷을 온 몸에 두른 드래곤이었다. 난폭하고, 얼핏 사악하게도 보이는 외견과는 달리 눈빛은 이상하게 맑은 드래곤이었다.","It was a dragon with black armor all over its body. Unlike the violent, seemingly evil exterior, the eyes were strangely clear.",那是一隻身披黑色盔甲的龍。雖然外形兇猛，帶著一絲邪惡的氣息，但那雙眼睛卻異常清澈。,,,,
,72,5,아르하 월드,다크나이트,Dark Knight,黑騎士,,정말 이그나를 죽이려고 했다면 힘 좀 더 줘라. 대충 막아도 막아질 정도 같으면 안하는게 낫지.,"If you really wanted to kill Igna, you need more power.",如果真的打算殺了伊格納，就該使點勁。如果隨便擋一下就能擋住，那倒不如不做。,,,,
,72,6,아르하 월드,솔라,Solar,太陽龍,,이제와서 무슨 볼일이냐 다크나이트.,What's the matter with you? Dark Knight.,現在來做什麼，黑騎士？,,,,
,72,7,아르하 월드,다크나이트,Dark Knight,黑騎士,,"워, 눈빛 보소. 못본사이 아주 거칠거칠해졌구나 솔라.","Whoa, look at the eyes. You must have been very rough, Solar.",哇，看看這眼神。不知不覺中，變得相當兇狠了，太陽龍。,,,,
,72,8,아르하 월드,주인공,Player,Player,,다크나이트는 싱글싱글 웃으며 대답했다. 대답하는 태도나 마주하는 성격만 봐서는 그렇게 나쁜 드래곤같아 보이진 않는데......,Dark Knight smiled on him. It doesn't look like such a bad dragon just because of the way his answer and the way...,黑騎士邊微笑邊回答。從他回答的態度和面對的性格來看，似乎並不像是那麼壞的龍……,,,,
,72,9,아르하 월드,다크나이트,Dark Knight,黑騎士,,"좋아, 다 설명해주지. 궁금한건 다 대답해주마. 대신 여기선 안돼.","All right, let me explain everything. I'll answer all your questions. Not here instead.",好，我會解釋一切。所有你想知道的我都會回答。 不過，這裡不行。,,,,
,72,10,아르하 월드,주인공,Player,Player,,다크나이트는 쓰러진 이그나를 안고 날아올랐다. 그리고 우릴 향해 한마디를 남기고는 순식간에 사라졌다.,The Dark Knight flew up with Igna who had fallen. And he left a word for us and then disappeared in a flash.,黑暗騎士抱起倒下的伊格納，飛了起來。然後他對我們說了一句話，瞬間消失在眼前。,,,,
,72,11,아르하 월드,다크나이트,Dark Knight,黑騎士,,어둠의 봉인지로 와라. 거기서 모든 걸 말해주마.,Come to the land of dark. I'll tell you everything there.,來黑暗封印之地吧。我會在那裡告訴你一切。,,,,
,,,,퀘스트,퀘스트,퀘스트,,어둠의 봉인지로 이동해 다크나이트와 만나자(어둠의 봉인지에 퀘스트 표시),Go to the land of dark and meet Dark Knight.,前往黑暗封印之地與黑暗騎士會面(黑暗封印之地顯示任務),,,,
,73,1,어둠의 봉인지,주인공,Player,Player,,"어둠의 봉인지에 도착하자 다크나이트가 혼자 우릴 기다리고 있었다. 몬스터도 보이지 않았고, 적어도 함정은 아닌 것 같았다.","When we arrived at the land of dark, Dark Knight was waiting for us alone. No monsters were seen, it didn't look like a trap.",到達黑暗封印之地時，黑暗騎士正獨自等著我們。四周沒有任何怪物，至少看起來不像是陷阱。,,,,
,73,2,어둠의 봉인지,제피로스,Zephyros,澤費羅斯,,조심해.,Be careful.,小心點。,,,,
,73,3,어둠의 봉인지,주인공,Player,Player,,그래서 잔뜩 긴장한 제피로스의 한마디가 굉장히 의아했다.,So the nervous words of Zephyros were very curious.,因此，澤費羅斯緊張地說出的一句話讓人十分疑惑。,,,,
,73,4,어둠의 봉인지,제피로스,Zephyros,澤費羅斯,,수호룡의 수장은 솔라지만 제일 강한 수호룡은 다크나이트다.,"The head of guardian dragons is Solar, but the strongest guardian is Dark Knight.",守護龍的領袖是太陽龍，但最強的守護龍是黑騎士。,,,,
,73,5,어둠의 봉인지,주인공,Player,Player,,포폰이 더 힘이 세지 않나요? 제피로스보다 빠르지도 않을텐데요?,"Isn't Popon stronger than him? And he isn't faster than Zephyros, is it?",波膨的力量不應該更強嗎？應該也比澤費羅斯快不了吧？,,,,
,73,6,어둠의 봉인지,포폰,Popon,波彭,,"그 말은 맞지만...... 나 다음으로 힘이 세고, 제피로스 다음으로 빨라.","That's right, but... He is the strongest after me, and the fastest after Zephyros.",那說法沒錯……但我僅次於你最強，且在澤費羅斯之後最快。,,,,
