구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,캐릭터 번자,표정,대사 한글,대사 영문,대사 번자,연출 종류,사운드,INDEX,CODE
,68,1,꿈의 세계,주인공,Player,Player,,꿈의 세계로 오는 중에도 세 수호룡과 렉스톤은 아무 말이 없었다. 나도 고대신룡도 아무것도 묻지 않았다.,"While on our way to the world of dreams, the three guardians and Rexton remained silent. Neither I nor the God dragon asked.",即使在前往夢境世界的途中，三隻守護龍和雷克斯頓也沒有說一句話。我和古代神龍也什麼都沒問。,,,,
,68,2,꿈의 세계,주인공,Player,Player,,하지만 지부장님은 달랐다. 당장 세 수호룡을 불러서 사태의 전모를 파악하기 시작했다.,But the manager was different. She immediately called in the guardians and began to grasp the full picture of the situation.,但是支部長不同。他立刻召喚了三隻守護龍，開始了解事態的全貌。,,,,
,68,3,꿈의 세계,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,나머지 수호룡의 등장이군요.,This is the appearance of the rest of the guardians.,是時候登場其他守護龍了。,,,,
,68,4,꿈의 세계,솔라,Solar,太陽龍,,"이제야 모든게 떠오른다. 블리자드, 이그나, 다크나이트. 우리까지 합쳐 모두 6마리의 수호룡이 있었지.","Now it all comes to mind. Blizzard, Igna, Dark knight. We all had six guardians.",現在一切都想起來了。暴雪、伊格納、黑騎士。加上我們，一共有六隻守護龍。,,,,
,68,5,꿈의 세계,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,그리고 그들은 아스타로트를 지키고 있었구요.,"And now, they protect Astaroth.",而且他們在守護著亞斯她錄。,,,,
,68,6,꿈의 세계,주인공,Player,Player,,"다음 순간, 제피로스의 한마디는 우릴 경악시키기에 충분했다.","The next moment, one word from Zephyros was enough to shock us.",下一刻，澤費羅斯的一句話足以讓我們震驚。,,,,
,68,7,꿈의 세계,제피로스,Zephyros,澤費羅斯,,아스타로트가 아니야. 그분의 원래 이름은 시렐라. 쉴라 여신님의 동생 분이시다.,She is not Astaroth. Her original name was Sirella. She is the sister of the goddess Shilla.,不是亞斯她錄。他的原名是西瑞拉，希拉女神的妹妹。,,,,
,68,8,꿈의 세계,누리,Nuri,諾莉,슬픔,네?!,What?!,蛤??,,,,
,68,9,꿈의 세계,즈믄,Zimon,茲門,보통,말도 안돼......,No way...,怎麼可能……,,,,
,68,10,꿈의 세계,포폰,Popon,波彭,,정말이야. 왜 저렇게 파랗게 되셨는지는 모르겠지만...... 저 얼굴은 분명 사랑과 자애의 여신인 시렐라 여신님이 맞아.,"It's true. I don't know what happened to her... But she is really a goddess of love and affection, Sirella.",這真的難以置信……我不知道她為什麼會變成那樣藍色的樣子，但那張臉肯定是充滿愛與慈悲的女神西瑞拉女神沒錯。,,,,
,68,11,꿈의 세계,주인공,Player,Player,,옆에 있던 고대신룡이 입을 쩍 벌렸다.,God dragon next to him opened his mouth in surprise.,旁邊的古代神龍也瞪大了嘴巴。,,,,
,68,12,꿈의 세계,지부장,Ellis Finnell,艾莉絲·皮內爾,화남,사랑과 자애라......,Love and affection...,愛與慈悲……,,,,
,68,13,꿈의 세계,렉스톤,Rexton,雷克斯頓,변신,그 시퍼런 여자...... 가 아니라 여신님이? 진짜야? 도저히 그렇게 보이진 않던데.,That blue woman... Is she the goddess? Really? She doesn't look like that at all.,那個藍色的女人……不，是女神？真的嗎？看起來根本不像啊。,,,,
,68,14,꿈의 세계,솔라,Solar,太陽龍,,당연히 원래는 그런 모습이 아니셨지. 렉스톤 넌 만난 적 없을거다. 게다가 네가 오고 얼마 지나지 않아 실종되버리셨으니......,"Of course she wasn't what she was. I don't think you've met her, Rexton. And she disappeared shortly after you...",當然，她原本並不是那樣的模樣。雷克斯頓，你應該沒見過她吧。而且在你來不久後，她就失踪了……,,,,
,68,15,꿈의 세계,주인공,Player,Player,,실종이라니 그게 무슨 말이죠? 내 물음에 솔라가 침통한 표정으로 대답했다.,What do you mean missing? Solar answered my question with a sad look.,失踪？這是什麼意思？我問道，而太陽龍則以沉痛的表情回答了我。,,,,
,68,16,꿈의 세계,솔라,Solar,太陽龍,,"전쟁 초, 다크베인의 갑작스런 기습으로 두 여신님은 떨어지게 되었다. 하지만 포기하지 않고 각기 카데스의 군단과 싸우고 있었어.","At the beginning of the war, the sudden attack of the Dark Vein separated the two goddesses. But they didn't give up and fighting against Kades's legions.",在戰爭初期，因為黑暗貝恩的突然襲擊，兩位女神被分開了。但她們並沒有放棄，而是各自與卡德斯的軍團作戰。,,,,
,68,17,꿈의 세계,제피로스,Zephyros,澤費羅斯,,"그리고 그 두 분 사이의 연락책은 내가 맡고 있었지. 하지만 어느 날, 약속된 장소로 이동했지만 시렐라 여신님의 사자는 오지 않았어. 그게 마지막이었다.","And I was a messenger between them. But one day, I moved to the appointed place, but the goddess's contact didn't come. That was the last.",而我擔任了她們兩位之間的聯絡人。但有一天，我按約定的地方前往，但希蕾拉女神的使者卻沒有來。那就是最後一次見到她的時候。,,,,
,68,18,꿈의 세계,포폰,Popon,波彭,,"결국 쉴라 여신님의 명령으로 시렐라 여신님을 찾기 위한 수색대가 출동했지. 그때 수색대를 맡고 있던 수호룡이 블리자드, 이그나, 다크나이트였어......","The goddess Shilla orders sent out a search party for the goddess Sirella. The guardians, who was in charge of the team at the time, was Blizzard, Igna, the Dark knight...",最終，在希拉女神的命令下，搜尋隊開始尋找西瑞拉女神。當時負責搜尋隊的守護龍是暴風雪、伊格納和黑騎士……,,,,
,68,19,꿈의 세계,주인공,Player,Player,,"포폰의 말을 마지막으로 모두가 조용해졌다. 배신, 세뇌, 타락, 여러가지 단어들이 머릿속을 맴돌았다. 하지만 입 밖으로 나오진 않았다.","At the end of Popon's words, everyone fell silent. Betrayal, brainwashing, corruption, and many other words were in my head. But it didn't come out of my mouth.",隨著波彭的話語落下，大家都沉默了。背叛、洗腦、墮落，種種詞彙在腦海中盤旋，但卻沒有說出口。,,,,
,68,20,꿈의 세계,주인공,Player,Player,,아마 모두가 그런 생각을 하고 있었을 것이다. 그렇기에 침묵이 길었다.,"Perhaps everyone was thinking that way. Therefore, silence was long.",或許每個人都在想著同樣的事。正因如此，沉默才會如此漫長。,,,,
,68,21,꿈의 세계,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,......비극적인 상황은 이해합니다. 하지만 그렇다고 이대로 손 놓고 있을 순 없죠.,I understand the tragic situation. But I can't let it go.,……我理解這是個悲劇的情況。但即便如此，我們也不能就這樣袖手旁觀。,,,,
,68,22,꿈의 세계,솔라,Solar,太陽龍,,"딱히 이해를 바라는 건 아니다. 우리는 졌고, 그로 인해 일어난 결과일 뿐이지. 아르하를 구하려고 하는 지금은...... 그들도 적일 뿐이다.","I am not really looking for an understanding. We lost, and that's a result. They are the enemy now that we are trying to save Archa.",我並不指望大家能理解。我們已經輸了，這只是結果而已。至於現在想要拯救阿爾哈……他們也只是敵人罷了。,,,,
,68,23,꿈의 세계,누리,Nuri,諾莉,슬픔,그래도 이건 너무 슬프잖아요. 옛 동료나 여신님과 싸워야 한다니......,But this is so sad. We have to fight with your old friend and goddess...,確實，但這實在太悲傷了。不得不與曾經的夥伴和女神對抗，這樣的情境真讓人心碎.......,,,,
,68,24,꿈의 세계,렉스톤,Rexton,雷克斯頓,변신,저쪽이 대화의 의지가 전혀 없어. 저번 전투에서 명백히 죽이려고 달려들었으니까.,They have no will to talk. They attacked us in the last battle.,那邊根本沒有任何對話的意圖。上次的戰鬥中，他們明顯是想要置我們於死地。,,,,
,68,25,꿈의 세계,제피로스,Zephyros,澤費羅斯,,맞아. 그들은 이미 아르하를 수호하겠다는 사명을 저버린 거나 마찬가지다. 이미 배신자지.,"Yes, they have already given up their mission to protect Archa. They are already traitors.",沒錯。他們已經背棄了保護阿爾哈的使命，這不就是背叛者嗎？,,,,
,68,26,꿈의 세계,주인공,Player,Player,,"포폰은 아무 말 없이 땅만 쳐다보고 있었다. 슬픈 표정으로, 두 주먹을 불끈 쥐고.","Popon was looking at the ground without saying anything. With a sad look, two fists in a fit.",波彭默默地低頭看著地面，表情悲傷，雙拳緊緊握著。,,,,
,68,27,꿈의 세계,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,"자, 정해졌으면 움직이죠. 적은 분명합니다. 그들은 우리의 목적을 가로막고 있고, 우린 어떻게 해서든 여신을 찾아야 합니다.","Well, let's move. The enemy is clear. They are blocking our purpose, and we must find the goddess at all costs.",好，既然已經決定，就該開始行動了。敵人是明確的，他們擋住了我們的目標，而我們無論如何都必須找到女神。,,,,
,68,28,꿈의 세계,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,"솔라, (주인공)일행과 함께 증명의 탑을 올라가 주세요. 이렇게 된 이상 드래곤 슬레이어가 가장 확실한 단서가 될 수 있습니다.","Solar, go up the Tower of proof with (주인공) party. Once this happens, Dragon slayer can be the most obvious clue.",太陽龍，請和(주인공)一行人一起前往證明之塔。既然事情已經這樣，龍殺者很可能是最確實的線索。,,,,
,68,29,꿈의 세계,솔라,Solar,太陽龍,,상황이 상황이니 만큼 어쩔 수 없군. 모두 서두르자. 장난칠 때가 아니야.,I can't help it. Let's hurry. This is no time for mischief.,既然情況如此，也只能這樣了。大家快點，別浪費時間，現在可不是開玩笑的時候。,,,,
,,,,퀘스트,퀘스트,퀘스트,,"증명의 탑 50층에 도달하자 (0/50)(증명의 탑에 퀘스트 표시)(증명의 탑 진입하는 순간 바로 퀘스트 진행, 0/50은 허세)",Reach to the 50th floor of the tower.,「到達證明之塔50層（0/50）  （證明之塔顯示任務標誌）  （進入證明之塔的瞬間立即開始任務，0/50是虛張聲勢）」,,,,
,69,1,증명의 탑,솔라,Solar,太陽龍,,"50층 따위...... 순식간...... 내가 1등...... 헉, 헉.",Fifty stories ...... in a second. I'm the first.....huff huff,50層這種事……一瞬間……我居然是第一名……呼，呼。,,,,
