구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,캐릭터 번자,표정,대사 한글,대사 영문,대사 번자,연출 종류,사운드,INDEX,CODE
,42,1,아르하 월드맵,솔라,Solar,太陽龍,,증명의 탑이란 곳이 있다. 이름 그대로 수호룡의 힘을 증명하는 곳이지.\n그곳이 헬카이저의 근거지다.,"There is a place, called ""Tower of proof"". As its name suggests, it proves the power of guardian dagon.\nIt is the base of Hell kaiser.",有一個地方叫做證明之塔，顧名思義，是用來證明守護龍的力量的地方。\n那裡就是地獄凱撒的據點。,,,,
,42,2,아르하 월드맵,솔라,Solar,太陽龍,,그곳은 올라가는 자의 기억 속에 있는 상대를 불러내 전투를 시작한다.\n그 상대와 싸워 이겨야만 다음 층으로 올라갈 수 있지.,The tower calls up the enemy in the memory of the visitor who is going up and begins to fight.\nYou have to fight your enemy to get to the next floor.,那裡會從登塔者的記憶中召喚對手，並開始戰鬥。\n只有戰勝對手，才能上到下一層。,,,,
,42,3,아르하 월드맵,솔라,Solar,太陽龍,,"허상이고 환영이지만, 고통은 진짜다.\n그 탑의 꼭대기에 헬카이저가 있다. 단단히 각오하고 들어서야 할거다.","It is an illusion, but the pain is real.\nThere is Hell kaiser on the top of the tower. You'll have to be ready.",雖然只是幻象和倒影，但痛苦卻是真實的。\n塔頂處就是地獄凱撒，進入之前必須做好充分的準備。,,,,
,42,4,아르하 월드맵,주인공,Player,Player,,비장한 말과 함께 탑으로 향하는 솔라를 제피로스가 한숨을 쉬며 멈춰세웠다.,Zephyros  sighed and stopped Solar.,帶著慷慨激昂的話語，太陽龍朝塔走去，這時，澤費羅斯嘆了口氣，將她停住了。,,,,
,42,5,아르하 월드맵,제피로스,Zephyros,澤費羅斯,,기다려. 잠깐만. 준비를 해야될거 아냐.,Hang on. Hold on a minute. You'll have to get ready.,等一下。稍等一下，還需要做些準備吧。,,,,
,42,6,아르하 월드맵,솔라,Solar,太陽龍,,앗 그렇군!,"Oh, that's right.",啊，對哦！,,,,
,42,7,아르하 월드맵,주인공,Player,Player,,준비는 이미 됐습니다! 드래곤도 건강하고 아이템도......,We're ready! Dragon is good and item is ...,準備已經完成！龍也很健康，物品也都準備好了……,,,,
,42,8,아르하 월드맵,제피로스,Zephyros,澤費羅斯,,마음가짐을 말하는게 아냐. 증명의 탑은 가혹하고 고된 탑이지.\n그래서 이를 위한 특별한 아이템을 준비해야 제대로 도전할 수 있어.,I don't mean them. The tower of proof is a harsh and arduous tower.\nSo you have to prepare a special item to challenge.,我說的不是準備物品的問題。證明之塔是個苛刻且艱難的地方。\n因此，你需要準備一些特殊的物品，這樣才能真正挑戰它。,,,,
,42,9,아르하 월드맵,포폰,Popon,波彭,,맞아. 아르하에 있는 각 지역...... 이제는 봉인지가 되어버린 그곳을 가야 해.\n각 봉인지마다 얻을 수 있는 아이템이 있어.,Right. Every area in Archa ...... You should visit there.\nThere are items available in each area.,沒錯。你必須前往阿爾哈的各個區域……現在已經成為封印地的那些地方。\n每個封印地都能獲得一些有用的物品。,,,,
,42,10,아르하 월드맵,포폰,Popon,波彭,,그 아이템을 활용하지 않고는 증명의 탑을 오르기는 불가능에 가깝지.,It's almost impossible to climb the tower of proof without that item.,如果不利用那些物品，幾乎無法成功攀登證明之塔。,,,,
