구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,캐릭터 번자,표정,대사 한글,대사 영문,대사 번자,연출 종류,사운드,INDEX,CODE
,36,1,물의 봉인지,주인공,Player,Player,,헬카이저는 드래곤 슬레이어의 기습을 여유롭게 받아넘겼다.\n그리고 치명적인 반격을 가했는데...... 별로 치명적이지 않아보였다.,Hell kaiser was comfortable in the face of Dragon slayer's surprise attack.\nAnd then he made a deadly counterattack ... It didn't look so critical.,地獄凱撒輕鬆地擋下了屠龍者的偷襲。\n然後發動了致命的反擊……但看起來並不怎麼致命。,,,,
,36,2,물의 봉인지,드래곤 슬레이어,Dragon Slayer,屠龍者,,꽤나 하는 놈인데.,He's a pretty good,"不錯的傢伙。
",,,,
,36,3,물의 봉인지,헬카이저,Hell Kaiser,地獄凱撒,,제법 튼튼하군. 이걸 버텨내다니.,You are quite strong. I can't believe you bore this.,挺結實的嘛。居然能挺過來。,,,,
,36,4,물의 봉인지,주인공,Player,Player,,강한 놈이야! 힙을 합쳐서 좀 더 전략적으로 싸워야 해!,He's a tough! We should fight more strategically together!,"真是個強敵！我們得團結起來，更有策略地戰鬥！
",,,,
,36,5,물의 봉인지,드래곤 슬레이어,Dragon Slayer,屠龍者,,필요 없다! 이 놈만 쓰러뜨리면 다 끝나는데 뭘 어물거려!,No! It's all over when I knock him out!,不需要！只要打倒這個傢伙，一切就結束了，還在猶豫什麼！,,,,
,,,,퀘스트,퀘스트,퀘스트,41,헬카이저를 무찌르자\n(물의 봉인지에 퀘스트 표시)\n(전투 승리),Defeat Hell kaiser.,"擊敗赫爾凱澤\n(水之封印處顯示任務)\n(戰鬥勝利)
",,,,
,37,1,물의 봉인지,주인공,Player,Player,,놀라운 일이 벌어졌다!\n드래곤 슬레이어의 일격에 헬카이저가 큰 상처를 입은 것이다!,What a surprise!\nThe blow from Dragon slayer hurt Hell kaiser badly!,發生了驚人的事情！\屠龍者的一擊讓地獄凱撒受到了重創！,,,,
,37,2,물의 봉인지,헬카이저,Hell Kaiser,地獄凱撒,,"큭큭큭, 역시 드래곤 슬레이어군. 제대로 만들어졌구나.","Dragon slayer, you are made correctly.",哈哈哈，果然是屠龍者啊。真是做得不錯。,,,,
,37,3,물의 봉인지,이블 던,Evil Dawn,邪惡黎明,,헬카이저님!,Hell kaiser!,地獄凱撒大人!,,,,
,37,4,물의 봉인지,드래곤 슬레이어,Dragon Slayer,屠龍者,,잔챙이는 저리 꺼져라!\n거들먹거리지 말고 똑바로 싸우지 못해?,Get away\nDon't you dare fight straight?,小東西給我滾開！\n別在那裡囂張，不能好好打嗎？,,,,
