구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,캐릭터 번자,표정,대사 한글,대사 영문,대사 번자,연출 종류,사운드,INDEX,CODE
,76,1,아르하 월드,아스타로트,Astarot,亞斯她錄,분노,멈춰라 솔라!,Stop!!,停下來，太陽龍！,,,,
,76,2,아르하 월드,주인공,Player,Player,,나타난건 아스타로트였다. 블리자드와 상처투성이의 이그나도 함께였다.,Astaroth appeared. Blizzard and wounded Igna were also together.,出現的是亞斯她錄。暴風雪和傷痕累累的伊格納也在一起。,,,,
,76,3,아르하 월드,고대신룡,God Dragon,古代神龍,변신,눈 먼 주인 나타났구나.,Your blind master has come.,瞎了的主人出現了。,,,,
,76,4,아르하 월드,주인공,Player,Player,,고대신룡이 아스타로트를 바라보며 중얼거리자 다크나이트의 눈초리가 바뀌었다.,"As God dragon mumbled, the eyes of Dark knight changed.",古代神龍低聲對著亞斯她錄喃喃自語，黑騎士的眼神隨之改變。,,,,
,76,5,아르하 월드,다크나이트,Dark Knight,黑騎士,,네놈 지금......,How dare you...,你現在......,,,,
,76,6,아르하 월드,아스타로트,Astarot,亞斯她錄,분노,닥쳐라 다크나이트! 너희들은 그냥 가만히 있어!,"Shut up, Dark knight! You just stay still!",閉嘴，黑騎士！你們就安靜待著！,,,,
,76,7,아르하 월드,주인공,Player,Player,,이제와서 뭐하러 나타난거냐! 네 수호룡은 전부 우리에게 패배했다!,What are you doing now? Your guardians was all defeated!,現在出現是想做什麼！你的守護龍都已經全被我們擊敗了！,,,,
,76,8,아르하 월드,아스타로트,Astarot,亞斯她錄,분노,"너도 시끄러워! 다 조용히 해! 아무도, 아무말도 하지 마!","You must be quiet, too! Nobody, say nothing!",你也安靜點！都閉嘴！誰也不准說話！,,,,
,76,9,아르하 월드,주인공,Player,Player,,묘한 박력에 이 자리에 있던 모든 이는 입을 다물었다. 포폰은 허둥지둥 눈물을 닦고 있었다.,Everyone was silenced by her drive. Popon was scurrying away his tears.,在那股奇異的氣勢下，這裡所有的人都閉上了嘴。波彭慌亂地擦著眼淚。,,,,
,76,10,아르하 월드,아스타로트,Astarot,亞斯她錄,분노,왜 싸우는거야 대체 왜! 왜! 왜냐고!,Why are you fighting? Why! Why! Why?,到底為什麼要戰鬥！到底為什麼！為什麼啊！,,,,
